행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,남_총인구수,남_연령구간인구수,남_0~9세,남_10~19세,남_20~29세,남_30~39세,남_40~49세,남_50~59세,남_60~69세,남_70~79세,남_80~89세,남_90~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~9세,여_10~19세,여_20~29세,여_30~39세,여_40~49세,여_50~59세,여_60~69세,여_70~79세,여_80~89세,여_90~99세,여_100세 이상
전국,"51,558,441","51,558,441","3,606,212","4,698,846","6,513,110","6,640,555","8,122,023","8,645,832","7,303,567","3,815,045","1,929,992","274,790","8,469","25,699,579","25,699,579","1,847,839","2,422,995","3,413,975","3,437,423","4,124,433","4,372,257","3,582,782","1,737,507","697,009","61,827","1,532","25,858,862","25,858,862","1,758,373","2,275,851","3,099,135","3,203,132","3,997,590","4,273,575","3,720,785","2,077,538","1,232,983","212,963","6,937"
서울특별시,"9,488,454","9,488,454","558,318","752,330","1,411,136","1,429,322","1,465,352","1,505,522","1,293,459","714,152","314,262","42,895","1,706","4,601,295","4,601,295","286,797","384,757","676,216","713,972","725,060","741,762","611,209","324,349","125,568","11,191",414,"4,887,159","4,887,159","271,521","367,573","734,920","715,350","740,292","763,760","682,250","389,803","188,694","31,704","1,292"
부산광역시,"3,331,444","3,331,444","210,796","265,365","402,848","399,342","498,370","548,523","552,651","306,257","130,866","15,991",435,"1,627,821","1,627,821","108,091","136,463","208,275","204,993","251,539","267,753","260,412","138,290","48,446","3,473",86,"1,703,623","1,703,623","102,705","128,902","194,573","194,349","246,831","280,770","292,239","167,967","82,420","12,518",349
대구광역시,"2,371,936","2,371,936","160,903","217,311","300,291","281,182","367,091","416,967","347,256","182,977","86,998","10,699",261,"1,167,564","1,167,564","82,432","112,655","159,363","148,393","181,264","204,013","165,403","80,353","31,249","2,408",31,"1,204,372","1,204,372","78,471","104,656","140,928","132,789","185,827","212,954","181,853","102,624","55,749","8,291",230
인천광역시,"2,963,117","2,963,117","211,468","271,377","382,191","403,813","482,429","511,802","411,942","186,759","87,415","13,488",433,"1,483,370","1,483,370","108,327","139,417","199,206","209,567","247,348","255,652","203,637","86,262","31,025","2,840",89,"1,479,747","1,479,747","103,141","131,960","182,985","194,246","235,081","256,150","208,305","100,497","56,390","10,648",344
광주광역시,"1,434,397","1,434,397","109,095","150,847","201,275","178,362","234,791","237,603","174,726","95,811","45,483","6,214",190,"709,090","709,090","55,983","78,066","104,987","91,488","116,765","117,935","83,268","42,529","16,690","1,357",22,"725,307","725,307","53,112","72,781","96,288","86,874","118,026","119,668","91,458","53,282","28,793","4,857",168
대전광역시,"1,448,240","1,448,240","104,028","140,287","206,113","188,112","228,590","239,713","194,368","94,749","45,670","6,431",179,"722,486","722,486","53,376","72,545","108,213","98,826","113,743","119,814","94,220","43,349","16,883","1,488",29,"725,754","725,754","50,652","67,742","97,900","89,286","114,847","119,899","100,148","51,400","28,787","4,943",150
울산광역시,"1,113,458","1,113,458","87,331","109,477","131,964","141,292","182,432","205,705","160,222","66,016","25,621","3,333",65,"571,867","571,867","44,796","57,490","74,437","75,741","93,384","104,064","80,701","31,673","8,977",600,4,"541,591","541,591","42,535","51,987","57,527","65,551","89,048","101,641","79,521","34,343","16,644","2,733",61
세종특별자치시,"381,439","381,439","46,562","47,933","38,903","61,282","75,807","51,132","34,952","15,519","7,962","1,355",32,"190,276","190,276","23,689","24,097","20,013","29,918","38,057","26,806","17,332","7,261","2,817",278,8,"191,163","191,163","22,873","23,836","18,890","31,364","37,750","24,326","17,620","8,258","5,145","1,077",24
경기도,"13,590,056","13,590,056","1,059,307","1,326,777","1,760,767","1,882,697","2,290,870","2,294,565","1,717,541","803,117","395,080","57,446","1,889","6,840,757","6,840,757","541,936","680,770","929,018","977,069","1,165,502","1,161,915","855,186","368,039","147,178","13,740",404,"6,749,299","6,749,299","517,371","646,007","831,749","905,628","1,125,368","1,132,650","862,355","435,078","247,902","43,706","1,485"
강원도,"1,538,801","1,538,801","97,836","132,309","171,770","160,912","217,710","263,836","264,009","138,025","80,161","11,873",360,"774,193","774,193","50,092","68,682","96,574","85,125","111,020","136,276","132,012","62,920","28,849","2,572",71,"764,608","764,608","47,744","63,627","75,196","75,787","106,690","127,560","131,997","75,105","51,312","9,301",289
충청북도,"1,596,886","1,596,886","111,851","145,671","190,631","188,204","237,103","269,747","247,101","123,941","72,393","9,948",296,"811,289","811,289","57,141","75,530","106,062","101,637","122,756","139,001","124,465","57,111","25,361","2,167",58,"785,597","785,597","54,710","70,141","84,569","86,567","114,347","130,746","122,636","66,830","47,032","7,781",238
충청남도,"2,121,082","2,121,082","155,534","201,322","233,240","254,424","327,326","341,516","307,968","174,568","108,076","16,652",456,"1,085,209","1,085,209","79,564","104,330","129,431","137,541","174,191","181,376","155,453","81,087","38,226","3,943",67,"1,035,873","1,035,873","75,970","96,992","103,809","116,883","153,135","160,140","152,515","93,481","69,850","12,709",389
전라북도,"1,775,664","1,775,664","113,205","167,838","201,079","177,912","256,378","299,374","272,841","170,103","101,200","15,288",446,"883,436","883,436","57,952","86,830","109,092","92,102","131,377","155,704","135,413","76,885","34,687","3,333",61,"892,228","892,228","55,253","81,008","91,987","85,810","125,001","143,670","137,428","93,218","66,513","11,955",385
전라남도,"1,824,104","1,824,104","117,910","161,341","188,503","173,890","250,175","312,912","289,965","190,541","120,311","18,015",541,"918,260","918,260","60,214","83,295","105,587","91,421","133,029","168,715","147,569","85,893","38,891","3,590",56,"905,844","905,844","57,696","78,046","82,916","82,469","117,146","144,197","142,396","104,648","81,420","14,425",485
경상북도,"2,609,356","2,609,356","169,226","220,269","265,493","271,746","372,890","452,017","440,760","248,526","146,678","21,178",573,"1,315,815","1,315,815","87,015","115,700","150,874","145,966","193,822","234,715","220,864","113,165","49,220","4,406",68,"1,293,541","1,293,541","82,211","104,569","114,619","125,780","179,068","217,302","219,896","135,361","97,458","16,772",505
경상남도,"3,290,991","3,290,991","236,654","317,867","348,030","368,070","523,036","577,905","506,304","257,305","135,857","19,569",394,"1,656,746","1,656,746","121,566","165,661","194,842","193,394","268,509","295,987","252,198","116,927","43,918","3,691",53,"1,634,245","1,634,245","115,088","152,206","153,188","174,676","254,527","281,918","254,106","140,378","91,939","15,878",341
제주특별자치도,"679,016","679,016","56,188","70,525","78,876","79,993","111,673","116,993","87,502","46,679","25,959","4,415",213,"340,105","340,105","28,868","36,707","41,785","40,270","57,067","60,769","43,440","21,414","9,024",750,11,"338,911","338,911","27,320","33,818","37,091","39,723","54,606","56,224","44,062","25,265","16,935","3,665",202
